sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2014,1,119,12254388,2014-01-01 00:00:00
AC,2014,1,129,8795500,2014-01-01 00:00:00
AC,2014,1,131,10461252,2014-01-01 00:00:00
AC,2014,1,132,15507619,2014-01-01 00:00:00
AC,2014,1,133,2188002,2014-01-01 00:00:00
AC,2014,1,134,6288927,2014-01-01 00:00:00
AC,2014,1,135,3104948,2014-01-01 00:00:00
AC,2014,1,139,37550748,2014-01-01 00:00:00
AC,2014,1,211,2990772,2014-01-01 00:00:00
AC,2014,1,212,0,2014-01-01 00:00:00
AC,2014,1,219,2990772,2014-01-01 00:00:00
AC,2014,1,221,20151,2014-01-01 00:00:00
AC,2014,1,222,1893460,2014-01-01 00:00:00
AC,2014,1,229,1913611,2014-01-01 00:00:00
AC,2014,1,239,747188,2014-01-01 00:00:00
AC,2014,1,249,0,2014-01-01 00:00:00
AC,2014,1,399,64252207,2014-01-01 00:00:00
AC,2014,1,409,4560020,2014-01-01 00:00:00
AC,2014,1,419,111252,2014-01-01 00:00:00
AC,2014,1,429,419224,2014-01-01 00:00:00
AC,2014,1,439,0,2014-01-01 00:00:00
AC,2014,1,499,5090496,2014-01-01 00:00:00
AC,2014,1,999,69342703,2014-01-01 00:00:00
AC,2014,10,119,16629425,2014-10-01 00:00:00
AC,2014,10,129,11319154,2014-10-01 00:00:00
AC,2014,10,131,11229930,2014-10-01 00:00:00
AC,2014,10,132,16342314,2014-10-01 00:00:00
AC,2014,10,133,2354035,2014-10-01 00:00:00
AC,2014,10,134,5475494,2014-10-01 00:00:00
AC,2014,10,135,7172830,2014-10-01 00:00:00
AC,2014,10,139,42574603,2014-10-01 00:00:00
AC,2014,10,211,6530962,2014-10-01 00:00:00
AC,2014,10,212,0,2014-10-01 00:00:00
AC,2014,10,219,6530962,2014-10-01 00:00:00
AC,2014,10,221,10300,2014-10-01 00:00:00
AC,2014,10,222,2037535,2014-10-01 00:00:00
AC,2014,10,229,2047835,2014-10-01 00:00:00
AC,2014,10,239,740080,2014-10-01 00:00:00
AC,2014,10,249,0,2014-10-01 00:00:00
AC,2014,10,399,79842059,2014-10-01 00:00:00
AC,2014,10,409,3468762,2014-10-01 00:00:00
AC,2014,10,419,138384,2014-10-01 00:00:00
AC,2014,10,429,275681,2014-10-01 00:00:00
AC,2014,10,439,0,2014-10-01 00:00:00
AC,2014,10,499,3882827,2014-10-01 00:00:00
AC,2014,10,999,83724886,2014-10-01 00:00:00
AC,2014,11,119,16890866,2014-11-01 00:00:00
AC,2014,11,129,9533023,2014-11-01 00:00:00
AC,2014,11,131,11323522,2014-11-01 00:00:00
AC,2014,11,132,16549885,2014-11-01 00:00:00
AC,2014,11,133,3215015,2014-11-01 00:00:00
AC,2014,11,134,6037635,2014-11-01 00:00:00
AC,2014,11,135,4567886,2014-11-01 00:00:00
AC,2014,11,139,41693943,2014-11-01 00:00:00
AC,2014,11,211,7117514,2014-11-01 00:00:00
AC,2014,11,212,0,2014-11-01 00:00:00
AC,2014,11,219,7117514,2014-11-01 00:00:00
AC,2014,11,221,10412,2014-11-01 00:00:00
AC,2014,11,222,2452599,2014-11-01 00:00:00
AC,2014,11,229,2463011,2014-11-01 00:00:00
AC,2014,11,239,685240,2014-11-01 00:00:00
AC,2014,11,249,0,2014-11-01 00:00:00
AC,2014,11,399,78383597,2014-11-01 00:00:00
AC,2014,11,409,2278201,2014-11-01 00:00:00
AC,2014,11,419,336368,2014-11-01 00:00:00
AC,2014,11,429,275883,2014-11-01 00:00:00
AC,2014,11,439,0,2014-11-01 00:00:00
AC,2014,11,499,2890452,2014-11-01 00:00:00
AC,2014,11,999,81274049,2014-11-01 00:00:00
AC,2014,12,119,13841857,2014-12-01 00:00:00
AC,2014,12,129,10180300,2014-12-01 00:00:00
AC,2014,12,131,12093264,2014-12-01 00:00:00
AC,2014,12,132,18555756,2014-12-01 00:00:00
AC,2014,12,133,3073730,2014-12-01 00:00:00
AC,2014,12,134,5631550,2014-12-01 00:00:00
AC,2014,12,135,7384292,2014-12-01 00:00:00
AC,2014,12,139,46738592,2014-12-01 00:00:00
AC,2014,12,211,6899133,2014-12-01 00:00:00
AC,2014,12,212,0,2014-12-01 00:00:00
AC,2014,12,219,6899133,2014-12-01 00:00:00
AC,2014,12,221,13054,2014-12-01 00:00:00
AC,2014,12,222,2135484,2014-12-01 00:00:00
AC,2014,12,229,2148538,2014-12-01 00:00:00
AC,2014,12,239,992981,2014-12-01 00:00:00
AC,2014,12,249,0,2014-12-01 00:00:00
AC,2014,12,399,80801401,2014-12-01 00:00:00
AC,2014,12,409,1932174,2014-12-01 00:00:00
AC,2014,12,419,191223,2014-12-01 00:00:00
AC,2014,12,429,1001668,2014-12-01 00:00:00
AC,2014,12,439,0,2014-12-01 00:00:00
AC,2014,12,499,3125065,2014-12-01 00:00:00
AC,2014,12,999,83926466,2014-12-01 00:00:00
AC,2014,2,119,16006334,2014-02-01 00:00:00
AC,2014,2,129,9154429,2014-02-01 00:00:00
AC,2014,2,131,9229855,2014-02-01 00:00:00
AC,2014,2,132,11766399,2014-02-01 00:00:00
AC,2014,2,133,1851256,2014-02-01 00:00:00
AC,2014,2,134,5945473,2014-02-01 00:00:00
AC,2014,2,135,4845704,2014-02-01 00:00:00
AC,2014,2,139,33638687,2014-02-01 00:00:00
AC,2014,2,211,5514807,2014-02-01 00:00:00
AC,2014,2,212,0,2014-02-01 00:00:00
AC,2014,2,219,5514807,2014-02-01 00:00:00
AC,2014,2,221,15387,2014-02-01 00:00:00
AC,2014,2,222,2630523,2014-02-01 00:00:00
AC,2014,2,229,2645910,2014-02-01 00:00:00
AC,2014,2,239,572887,2014-02-01 00:00:00
AC,2014,2,249,0,2014-02-01 00:00:00
AC,2014,2,399,67533054,2014-02-01 00:00:00
AC,2014,2,409,4756039,2014-02-01 00:00:00
AC,2014,2,419,842687,2014-02-01 00:00:00
AC,2014,2,429,431173,2014-02-01 00:00:00
AC,2014,2,439,0,2014-02-01 00:00:00
AC,2014,2,499,6029899,2014-02-01 00:00:00
AC,2014,2,999,73562953,2014-02-01 00:00:00
AC,2014,3,119,17814478,2014-03-01 00:00:00
AC,2014,3,129,7518997,2014-03-01 00:00:00
AC,2014,3,131,8827417,2014-03-01 00:00:00
AC,2014,3,132,11023037,2014-03-01 00:00:00
AC,2014,3,133,2203591,2014-03-01 00:00:00
AC,2014,3,134,5896256,2014-03-01 00:00:00
AC,2014,3,135,-5315483,2014-03-01 00:00:00
AC,2014,3,139,22634818,2014-03-01 00:00:00
AC,2014,3,211,5848426,2014-03-01 00:00:00
AC,2014,3,212,0,2014-03-01 00:00:00
AC,2014,3,219,5848426,2014-03-01 00:00:00
AC,2014,3,221,4293,2014-03-01 00:00:00
AC,2014,3,222,3047443,2014-03-01 00:00:00
AC,2014,3,229,3051736,2014-03-01 00:00:00
AC,2014,3,239,644840,2014-03-01 00:00:00
AC,2014,3,249,0,2014-03-01 00:00:00
AC,2014,3,399,57513295,2014-03-01 00:00:00
AC,2014,3,409,318741,2014-03-01 00:00:00
AC,2014,3,419,195868,2014-03-01 00:00:00
AC,2014,3,429,4994332,2014-03-01 00:00:00
AC,2014,3,439,0,2014-03-01 00:00:00
AC,2014,3,499,5508941,2014-03-01 00:00:00
AC,2014,3,999,63022236,2014-03-01 00:00:00
AC,2014,4,119,17631978,2014-04-01 00:00:00
AC,2014,4,129,5853026,2014-04-01 00:00:00
AC,2014,4,131,8613049,2014-04-01 00:00:00
AC,2014,4,132,12206485,2014-04-01 00:00:00
AC,2014,4,133,3334621,2014-04-01 00:00:00
AC,2014,4,134,6144535,2014-04-01 00:00:00
AC,2014,4,135,13162161,2014-04-01 00:00:00
AC,2014,4,139,43460851,2014-04-01 00:00:00
AC,2014,4,211,4951678,2014-04-01 00:00:00
AC,2014,4,212,0,2014-04-01 00:00:00
AC,2014,4,219,4951678,2014-04-01 00:00:00
AC,2014,4,221,25259,2014-04-01 00:00:00
AC,2014,4,222,2810414,2014-04-01 00:00:00
AC,2014,4,229,2835673,2014-04-01 00:00:00
AC,2014,4,239,650951,2014-04-01 00:00:00
AC,2014,4,249,0,2014-04-01 00:00:00
