UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
AC;ACRELANDIA;AUTOMOVEL;1431
AC;ACRELANDIA;BONDE;0
AC;ACRELANDIA;CAMINHAO;476
AC;ACRELANDIA;CAMINHAO TRATOR;38
AC;ACRELANDIA;CAMINHONETE;708
AC;ACRELANDIA;CAMIONETA;56
AC;ACRELANDIA;CHASSI PLATAF;0
AC;ACRELANDIA;CICLOMOTOR;2
AC;ACRELANDIA;MICRO-ONIBUS;10
AC;ACRELANDIA;MOTOCICLETA;3350
AC;ACRELANDIA;MOTONETA;399
AC;ACRELANDIA;ONIBUS;43
AC;ACRELANDIA;QUADRICICLO;0
AC;ACRELANDIA;REBOQUE;88
AC;ACRELANDIA;SEMI-REBOQUE;72
AC;ACRELANDIA;SIDE-CAR;0
AC;ACRELANDIA;OUTROS;2
AC;ACRELANDIA;TRATOR ESTEI;0
AC;ACRELANDIA;TRATOR RODAS;0
AC;ACRELANDIA;TRICICLO;0
AC;ACRELANDIA;UTILITARIO;13
AC;ASSIS BRASIL;AUTOMOVEL;345
AC;ASSIS BRASIL;BONDE;0
AC;ASSIS BRASIL;CAMINHAO;25
AC;ASSIS BRASIL;CAMINHAO TRATOR;0
AC;ASSIS BRASIL;CAMINHONETE;155
AC;ASSIS BRASIL;CAMIONETA;19
AC;ASSIS BRASIL;CHASSI PLATAF;0
AC;ASSIS BRASIL;CICLOMOTOR;2
AC;ASSIS BRASIL;MICRO-ONIBUS;2
AC;ASSIS BRASIL;MOTOCICLETA;1192
AC;ASSIS BRASIL;MOTONETA;129
AC;ASSIS BRASIL;ONIBUS;4
AC;ASSIS BRASIL;QUADRICICLO;0
AC;ASSIS BRASIL;REBOQUE;17
AC;ASSIS BRASIL;SEMI-REBOQUE;0
AC;ASSIS BRASIL;SIDE-CAR;0
AC;ASSIS BRASIL;OUTROS;0
AC;ASSIS BRASIL;TRATOR ESTEI;0
AC;ASSIS BRASIL;TRATOR RODAS;0
AC;ASSIS BRASIL;TRICICLO;0
AC;ASSIS BRASIL;UTILITARIO;2
AC;BRASILEIA;AUTOMOVEL;2395
AC;BRASILEIA;BONDE;0
AC;BRASILEIA;CAMINHAO;289
AC;BRASILEIA;CAMINHAO TRATOR;157
AC;BRASILEIA;CAMINHONETE;1240
AC;BRASILEIA;CAMIONETA;87
AC;BRASILEIA;CHASSI PLATAF;0
AC;BRASILEIA;CICLOMOTOR;4
AC;BRASILEIA;MICRO-ONIBUS;8
AC;BRASILEIA;MOTOCICLETA;4563
AC;BRASILEIA;MOTONETA;980
AC;BRASILEIA;ONIBUS;20
AC;BRASILEIA;QUADRICICLO;0
AC;BRASILEIA;REBOQUE;118
AC;BRASILEIA;SEMI-REBOQUE;228
AC;BRASILEIA;SIDE-CAR;0
AC;BRASILEIA;OUTROS;0
AC;BRASILEIA;TRATOR ESTEI;0
AC;BRASILEIA;TRATOR RODAS;0
AC;BRASILEIA;TRICICLO;2
AC;BRASILEIA;UTILITARIO;30
AC;BUJARI;AUTOMOVEL;650
AC;BUJARI;BONDE;0
AC;BUJARI;CAMINHAO;131
AC;BUJARI;CAMINHAO TRATOR;33
AC;BUJARI;CAMINHONETE;278
AC;BUJARI;CAMIONETA;16
AC;BUJARI;CHASSI PLATAF;0
AC;BUJARI;CICLOMOTOR;7
AC;BUJARI;MICRO-ONIBUS;6
AC;BUJARI;MOTOCICLETA;980
AC;BUJARI;MOTONETA;54
AC;BUJARI;ONIBUS;14
AC;BUJARI;QUADRICICLO;0
AC;BUJARI;REBOQUE;26
AC;BUJARI;SEMI-REBOQUE;43
AC;BUJARI;SIDE-CAR;0
AC;BUJARI;OUTROS;0
AC;BUJARI;TRATOR ESTEI;0
AC;BUJARI;TRATOR RODAS;0
AC;BUJARI;TRICICLO;1
AC;BUJARI;UTILITARIO;1
AC;CAPIXABA;AUTOMOVEL;634
AC;CAPIXABA;BONDE;0
AC;CAPIXABA;CAMINHAO;88
AC;CAPIXABA;CAMINHAO TRATOR;3
AC;CAPIXABA;CAMINHONETE;245
AC;CAPIXABA;CAMIONETA;29
AC;CAPIXABA;CHASSI PLATAF;0
AC;CAPIXABA;CICLOMOTOR;5
AC;CAPIXABA;MICRO-ONIBUS;3
AC;CAPIXABA;MOTOCICLETA;1094
AC;CAPIXABA;MOTONETA;128
AC;CAPIXABA;ONIBUS;17
AC;CAPIXABA;QUADRICICLO;0
AC;CAPIXABA;REBOQUE;27
AC;CAPIXABA;SEMI-REBOQUE;4
AC;CAPIXABA;SIDE-CAR;0
AC;CAPIXABA;OUTROS;0
AC;CAPIXABA;TRATOR ESTEI;0
AC;CAPIXABA;TRATOR RODAS;0
AC;CAPIXABA;TRICICLO;0
AC;CAPIXABA;UTILITARIO;2
AC;CRUZEIRO DO SUL;AUTOMOVEL;7146
AC;CRUZEIRO DO SUL;BONDE;0
AC;CRUZEIRO DO SUL;CAMINHAO;732
AC;CRUZEIRO DO SUL;CAMINHAO TRATOR;91
AC;CRUZEIRO DO SUL;CAMINHONETE;2914
AC;CRUZEIRO DO SUL;CAMIONETA;328
AC;CRUZEIRO DO SUL;CHASSI PLATAF;1
AC;CRUZEIRO DO SUL;CICLOMOTOR;32
AC;CRUZEIRO DO SUL;MICRO-ONIBUS;60
AC;CRUZEIRO DO SUL;MOTOCICLETA;15911
AC;CRUZEIRO DO SUL;MOTONETA;6840
AC;CRUZEIRO DO SUL;ONIBUS;83
AC;CRUZEIRO DO SUL;QUADRICICLO;0
AC;CRUZEIRO DO SUL;REBOQUE;48
AC;CRUZEIRO DO SUL;SEMI-REBOQUE;189
AC;CRUZEIRO DO SUL;SIDE-CAR;0
AC;CRUZEIRO DO SUL;OUTROS;1
AC;CRUZEIRO DO SUL;TRATOR ESTEI;0
AC;CRUZEIRO DO SUL;TRATOR RODAS;0
AC;CRUZEIRO DO SUL;TRICICLO;10
