Index,Nome,Formato,Pokemon,Gênero,PC,PS,Atq IV,Def IV,PS IV,IV Médio,Nível Min,Nível Max,Movimento rápido,Movimento de carga,Movimento de carga 2,Data de digitalização,Data Pego,Peso,Altura,Sortudo,Sombras/Purificado,Favorito,Poeira,Class % (G),Class # (G),Prod Estat (G),Custo de Poeira (G),Custo de Doces (G),Nome (G),Formato (G),Som/Pur (G),Class % (U),Class # (U),Prod Estat (U),Custo de Poeira (U),Custo de Doces (U),Nome (U),Formato (U),Som/Pur (U),Marcado para uso PvP
1,Salamence,,373,♀,3100,165,15,15,14,97.8,29.0,29.0,Cauda do Dragão,Meteoro do Dragão,,"2021-11-20 17:16",10/6/2020,114.55kg,1.51m,0,0,0,5000,,,,,,,,,,,,,,,,,
2,Karrablast,,588,♂,841,103,14,8,15,82.2,26.0,26.0,Cortador de Fúria,,,"2021-11-20 17:15",,4.71kg,0.45m,0,0,0,4000,93.26%,277,92.52%,436000,214,Karrablast,,0,29.60%,2884,95.32%,52000,246,Escavalier,,0,
3,Buneary,,427,♀,773,104,,,,57.8,24.0,24.0,Pancada,,,"2021-11-20 16:58",,6.48kg,0.45m,0,0,0,3500,79.76%,499,96.62%,27500,74,Lopunny,Normal,0,64.36%,1240,90.46%,451000,276,Lopunny,Normal,0,
4,Glameow,,431,♀,145,48,,,,80.5,6.0,6.0,Arranhão,,,"2021-11-20 16:57",,2.74kg,0.48m,0,0,0,600,38.71%,1280,95.94%,92900,142,Purugly,,0,93.70%,93,96.26%,516400,344,Purugly,,0,
5,Blissey,,242,♀,1881,334,12,15,10,82.2,24.5,24.5,Cabeçada Zen,Psíquico,,"2021-11-20 16:56",,34.13kg,1.26m,0,0,0,3500,,,,,,,,,45.86%,2218,95.28%,109500,105,Blissey,,0,
6,Mienfoo,,619,♂,682,84,2,0,14,35.6,20.0,20.0,Pancada,,,"2021-11-20 16:34",20/11/2021,22.35kg,0.95m,0,0,0,2500,82.49%,718,96.29%,8000,57,Mienshao,,0,67.99%,1312,96.49%,267000,298,Mienshao,,0,
7,Turtwig,,387,♂,773,100,5,12,2,42.2,26.0,26.0,Investida,,,"2021-11-20 16:11",6/10/2019,9.38kg,0.4m,0,0,0,4000,70.40%,1213,96.24%,52000,71,Grotle,,0,59.61%,1655,96.49%,91000,213,Torterra,,0,
8,Turtwig,,387,♂,520,86,10,14,15,86.7,16.0,16.0,Investida,Bomba de Sementes,,"2021-11-20 16:11",19/11/2021,9.14kg,0.36m,0,0,0,1900,64.64%,1449,95.89%,78100,95,Grotle,,0,78.05%,900,97.25%,102600,215,Torterra,,0,
9,Turtwig,,387,,183,48,10,15,6,68.9,6.0,6.0,,,,"2021-11-20 16:11",20/11/2021,,,0,0,0,600,61.42%,1581,95.55%,34200,165,Torterra,,0,57.70%,1733,96.41%,138400,257,Torterra,,0,
10,Turtwig,,387,♂,771,105,4,15,12,68.9,25.0,25.0,,,,"2021-11-20 16:11",20/11/2021,8.15kg,0.38m,0,0,0,4000,82.91%,701,96.99%,39000,59,Grotle,,0,92.01%,328,98.08%,78000,195,Torterra,,0,
