id_pokedex,type,type_two,name,height,weight,category,ability,ability_two,weakness,weakness_two,description,HP,Attack,Defense,Special_Attack,Special_Defense,Speed
1,Grass,Poison,Bulbasaur,0.7,6.9,Seed,Overgrow,,Fire,Flying,"Bulbasaur can be seen napping in bright sunlight.There is a seed on its back. By soaking up the suns rays,the seed grows progressively larger.",3,3,3,4,4,3
2,Grass,Poison,Ivysaur,1.0,13.0,Seed,Overgrow,,Fire,Flying,"There is a bud on this Pokémons back. To support its weight,Ivysaurs legs and trunk grow thick and strong.If it starts spending more time lying in the sunlight,its a sign that the bud will bloom into a large flower soon.",4,4,4,5,5,4
3,Grass,Poison,Venusaur,2.0,100.0,Seed,Overgrow,,Fire,Flying,There is a large flower on Venusaurs back. The flower is saidto take on vivid colors if it gets plenty of nutrition and sunlight.The flowers aroma soothes the emotions of people.,5,5,5,6,6,5
4,Fire,,Charmander,0.6,8.5,Lizard,Blaze,,Ground,Rock,"The flame that burns at the tip of its tail is an indicationof its emotions. The flame wavers when Charmanderis enjoying itself. If the Pokémon becomes enraged,the flame burns fiercely.",3,4,3,4,3,4
5,Fire,,Charmeleon,1.1,19.0,Flame,Blaze,,Ground,Rock,"Charmeleon mercilessly destroys its foes using its sharp claws.If it encounters a strong foe, it turns aggressive.In this excited state, the flame at the tip of its tail flares with abluish white color.",4,4,4,5,4,5
6,Fire,Flying,Charizard,1.7,90.5,Flame,Blaze,,Rock,Electric,"Charizard flies around the sky in search of powerful opponents.It breathes fire of such great heat that it melts anything.However, it never turns its fiery breath on any opponentweaker than itself.",5,5,5,7,5,6
7,Water,,Squirtle,0.5,9.0,Tiny Turtle,Torrent,,Electric,Grass,"Squirtles shell is not merely used for protection.The shells rounded shape and the grooves on its surfacehelp minimize resistance in water, enabling this Pokémonto swim at high speeds.",3,3,4,3,4,3
8,Water,,Wartortle,1.0,22.5,Turtle,Torrent,,Electric,Grass,"Its tail is large and covered with a rich, thick fur. The tailbecomes increasingly deeper in color as Wartortle ages.The scratches on its shell are evidence of this Pokémonstoughness as a battler.",4,4,5,4,5,4
9,Water,,Blastoise,1.6,85.5,Shellfish,Torrent,,Electric,Grass,Blastoise has water spouts that protrude from its shell.The water spouts are very accurate. They can shoot bullets ofwater with enough accuracy to strike empty cans from adistance of over 160 feet.,5,5,6,5,7,5
10,Bug,,Caterpie,0.3,2.9,Worm,Shield Dust,,Fire,Flying,"Caterpie has a voracious appetite. It can devour leaves biggerthan its body right before your eyes. From its antenna, thisPokémon releases a terrifically strong odor.",3,2,3,2,2,3
11,Bug,,Metapod,0.7,9.9,Cocoon,Shed Skin,,Fire,Flying,The shell covering this Pokémons body is as hard as aniron slab. Metapod does not move very much. It stays stillbecause it is preparing its soft innards for evolution insidethe hard shell.,3,2,4,2,2,2
12,Bug,Flying,Butterfree,1.1,32.0,Butterfly,Compound Eyes,,Rock,Electric,"Butterfree has a superior ability to search for delicious honeyfrom flowers. It can even search out, extract, and carry honeyfrom flowers that are blooming over six miles from its nest.",4,3,3,6,5,5
13,Bug,Poison,Weedle,0.3,3.2,Hairy Bug,Shield Dust,,Fire,Flying,Weedle has an extremely acute sense of smell. It is capable ofdistinguishing its favorite kinds of leaves from those it dislikesjust by sniffing with its big red proboscis (nose).,3,3,2,2,2,3
14,Bug,Poison,Kakuna,0.6,10.0,Cocoon,Shed Skin,,Fire,Flying,"Kakuna remains virtually immobile as it clings to a tree.However, on the inside, it is extremely busy as it prepares forits coming evolution. This is evident from how hot the shellbecomes to the touch.",3,2,3,2,2,3
15,Bug,Poison,Beedrill,1.0,29.5,Poison Bee,Swarm,,Fire,Flying,"Beedrill is extremely territorial. No one should ever approachits nest—this is for their own safety. If angered, they will attackin a furious swarm.",4,6,3,3,5,5
16,Normal,Flying,Pidgey,0.3,1.8,Tiny Bird,Keen Eye,Tangled Feet,Electric,Ice,"Pidgey has an extremely sharp sense of direction. It is capableof unerringly returning home to its nest, however far it may beremoved from its familiar surroundings.",3,3,3,3,3,4
17,Normal,Flying,Pidgeotto,1.1,30.0,Bird,Keen Eye,Tangled Feet,Electric,Ice,"Pidgeotto claims a large area as its own territory.This Pokémon flies around, patrolling its living space.If its territory is violated, it shows no mercy in thoroughlypunishing the foe with its sharp claws.",4,4,4,3,3,5
18,Normal,Flying,Pidgeot,1.5,39.5,Bird,Keen Eye,,Electric,Ice,"This Pokémon has a dazzling plumage of beautifullyglossy feathers. Many Trainers are captivated by thestriking beauty of the feathers on its head, compellingthem to choose Pidgeot as their Pokémon.",5,5,5,5,5,6
19,Normal,,Rattata,0.3,3.5,Mouse,Run Away,,Fighting,Fairy,"Rattata is cautious in the extreme. Even while it is asleep,it constantly listens by moving its ears around. It is not pickyabout where it lives—it will make its nest anywhere.",2,4,3,2,3,5
