sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2002,1,119,0,2002-01-01 00:00:00
AC,2002,1,129,0,2002-01-01 00:00:00
AC,2002,1,131,0,2002-01-01 00:00:00
AC,2002,1,132,0,2002-01-01 00:00:00
AC,2002,1,133,0,2002-01-01 00:00:00
AC,2002,1,134,0,2002-01-01 00:00:00
AC,2002,1,135,0,2002-01-01 00:00:00
AC,2002,1,139,0,2002-01-01 00:00:00
AC,2002,1,211,0,2002-01-01 00:00:00
AC,2002,1,212,0,2002-01-01 00:00:00
AC,2002,1,219,0,2002-01-01 00:00:00
AC,2002,1,221,0,2002-01-01 00:00:00
AC,2002,1,222,0,2002-01-01 00:00:00
AC,2002,1,229,0,2002-01-01 00:00:00
AC,2002,1,239,0,2002-01-01 00:00:00
AC,2002,1,249,0,2002-01-01 00:00:00
AC,2002,1,399,11910232,2002-01-01 00:00:00
AC,2002,1,409,417919,2002-01-01 00:00:00
AC,2002,1,419,28940,2002-01-01 00:00:00
AC,2002,1,429,52347,2002-01-01 00:00:00
AC,2002,1,439,5280374,2002-01-01 00:00:00
AC,2002,1,499,5779580,2002-01-01 00:00:00
AC,2002,1,999,17689812,2002-01-01 00:00:00
AC,2002,10,119,0,2002-10-01 00:00:00
AC,2002,10,129,0,2002-10-01 00:00:00
AC,2002,10,131,0,2002-10-01 00:00:00
AC,2002,10,132,0,2002-10-01 00:00:00
AC,2002,10,133,0,2002-10-01 00:00:00
AC,2002,10,134,0,2002-10-01 00:00:00
AC,2002,10,135,0,2002-10-01 00:00:00
AC,2002,10,139,0,2002-10-01 00:00:00
AC,2002,10,211,0,2002-10-01 00:00:00
AC,2002,10,212,0,2002-10-01 00:00:00
AC,2002,10,219,0,2002-10-01 00:00:00
AC,2002,10,221,0,2002-10-01 00:00:00
AC,2002,10,222,0,2002-10-01 00:00:00
AC,2002,10,229,0,2002-10-01 00:00:00
AC,2002,10,239,0,2002-10-01 00:00:00
AC,2002,10,249,0,2002-10-01 00:00:00
AC,2002,10,399,15037044,2002-10-01 00:00:00
AC,2002,10,409,477342,2002-10-01 00:00:00
AC,2002,10,419,3083,2002-10-01 00:00:00
AC,2002,10,429,43010,2002-10-01 00:00:00
AC,2002,10,439,6166909,2002-10-01 00:00:00
AC,2002,10,499,6690344,2002-10-01 00:00:00
AC,2002,10,999,21727388,2002-10-01 00:00:00
AC,2002,11,119,0,2002-11-01 00:00:00
AC,2002,11,129,0,2002-11-01 00:00:00
AC,2002,11,131,0,2002-11-01 00:00:00
AC,2002,11,132,0,2002-11-01 00:00:00
AC,2002,11,133,0,2002-11-01 00:00:00
AC,2002,11,134,0,2002-11-01 00:00:00
AC,2002,11,135,0,2002-11-01 00:00:00
AC,2002,11,139,0,2002-11-01 00:00:00
AC,2002,11,211,0,2002-11-01 00:00:00
AC,2002,11,212,0,2002-11-01 00:00:00
AC,2002,11,219,0,2002-11-01 00:00:00
AC,2002,11,221,0,2002-11-01 00:00:00
AC,2002,11,222,0,2002-11-01 00:00:00
AC,2002,11,229,0,2002-11-01 00:00:00
AC,2002,11,239,0,2002-11-01 00:00:00
AC,2002,11,249,0,2002-11-01 00:00:00
AC,2002,11,399,19264836,2002-11-01 00:00:00
AC,2002,11,409,388935,2002-11-01 00:00:00
AC,2002,11,419,15584,2002-11-01 00:00:00
AC,2002,11,429,50098,2002-11-01 00:00:00
AC,2002,11,439,7811431,2002-11-01 00:00:00
AC,2002,11,499,8266048,2002-11-01 00:00:00
AC,2002,11,999,27530884,2002-11-01 00:00:00
AC,2002,12,119,0,2002-12-01 00:00:00
AC,2002,12,129,0,2002-12-01 00:00:00
AC,2002,12,131,0,2002-12-01 00:00:00
AC,2002,12,132,0,2002-12-01 00:00:00
AC,2002,12,133,0,2002-12-01 00:00:00
AC,2002,12,134,0,2002-12-01 00:00:00
AC,2002,12,135,0,2002-12-01 00:00:00
AC,2002,12,139,0,2002-12-01 00:00:00
AC,2002,12,211,0,2002-12-01 00:00:00
AC,2002,12,212,0,2002-12-01 00:00:00
AC,2002,12,219,0,2002-12-01 00:00:00
AC,2002,12,221,0,2002-12-01 00:00:00
AC,2002,12,222,0,2002-12-01 00:00:00
AC,2002,12,229,0,2002-12-01 00:00:00
AC,2002,12,239,0,2002-12-01 00:00:00
AC,2002,12,249,0,2002-12-01 00:00:00
AC,2002,12,399,17971969,2002-12-01 00:00:00
AC,2002,12,409,251171,2002-12-01 00:00:00
AC,2002,12,419,19914,2002-12-01 00:00:00
AC,2002,12,429,33629,2002-12-01 00:00:00
AC,2002,12,439,12281703,2002-12-01 00:00:00
AC,2002,12,499,12586417,2002-12-01 00:00:00
AC,2002,12,999,30558386,2002-12-01 00:00:00
AC,2002,2,119,0,2002-02-01 00:00:00
AC,2002,2,129,0,2002-02-01 00:00:00
AC,2002,2,131,0,2002-02-01 00:00:00
AC,2002,2,132,0,2002-02-01 00:00:00
AC,2002,2,133,0,2002-02-01 00:00:00
AC,2002,2,134,0,2002-02-01 00:00:00
AC,2002,2,135,0,2002-02-01 00:00:00
AC,2002,2,139,0,2002-02-01 00:00:00
AC,2002,2,211,0,2002-02-01 00:00:00
AC,2002,2,212,0,2002-02-01 00:00:00
AC,2002,2,219,0,2002-02-01 00:00:00
AC,2002,2,221,0,2002-02-01 00:00:00
AC,2002,2,222,0,2002-02-01 00:00:00
AC,2002,2,229,0,2002-02-01 00:00:00
AC,2002,2,239,0,2002-02-01 00:00:00
AC,2002,2,249,0,2002-02-01 00:00:00
AC,2002,2,399,11106480,2002-02-01 00:00:00
AC,2002,2,409,538138,2002-02-01 00:00:00
AC,2002,2,419,8560,2002-02-01 00:00:00
AC,2002,2,429,40705,2002-02-01 00:00:00
AC,2002,2,439,5539810,2002-02-01 00:00:00
AC,2002,2,499,6127213,2002-02-01 00:00:00
AC,2002,2,999,17233693,2002-02-01 00:00:00
AC,2002,3,119,0,2002-03-01 00:00:00
AC,2002,3,129,0,2002-03-01 00:00:00
AC,2002,3,131,0,2002-03-01 00:00:00
AC,2002,3,132,0,2002-03-01 00:00:00
AC,2002,3,133,0,2002-03-01 00:00:00
AC,2002,3,134,0,2002-03-01 00:00:00
AC,2002,3,135,0,2002-03-01 00:00:00
AC,2002,3,139,0,2002-03-01 00:00:00
AC,2002,3,211,0,2002-03-01 00:00:00
AC,2002,3,212,0,2002-03-01 00:00:00
AC,2002,3,219,0,2002-03-01 00:00:00
AC,2002,3,221,0,2002-03-01 00:00:00
AC,2002,3,222,0,2002-03-01 00:00:00
AC,2002,3,229,0,2002-03-01 00:00:00
AC,2002,3,239,0,2002-03-01 00:00:00
AC,2002,3,249,0,2002-03-01 00:00:00
AC,2002,3,399,11433129,2002-03-01 00:00:00
AC,2002,3,409,660517,2002-03-01 00:00:00
AC,2002,3,419,10316,2002-03-01 00:00:00
AC,2002,3,429,63874,2002-03-01 00:00:00
AC,2002,3,439,5477400,2002-03-01 00:00:00
AC,2002,3,499,6212107,2002-03-01 00:00:00
AC,2002,3,999,17645236,2002-03-01 00:00:00
AC,2002,4,119,0,2002-04-01 00:00:00
AC,2002,4,129,0,2002-04-01 00:00:00
AC,2002,4,131,0,2002-04-01 00:00:00
AC,2002,4,132,0,2002-04-01 00:00:00
AC,2002,4,133,0,2002-04-01 00:00:00
AC,2002,4,134,0,2002-04-01 00:00:00
AC,2002,4,135,0,2002-04-01 00:00:00
AC,2002,4,139,0,2002-04-01 00:00:00
AC,2002,4,211,0,2002-04-01 00:00:00
AC,2002,4,212,0,2002-04-01 00:00:00
AC,2002,4,219,0,2002-04-01 00:00:00
AC,2002,4,221,0,2002-04-01 00:00:00
AC,2002,4,222,0,2002-04-01 00:00:00
AC,2002,4,229,0,2002-04-01 00:00:00
AC,2002,4,239,0,2002-04-01 00:00:00
AC,2002,4,249,0,2002-04-01 00:00:00
AC,2002,4,399,12025351,2002-04-01 00:00:00
AC,2002,4,409,579632,2002-04-01 00:00:00
AC,2002,4,419,11286,2002-04-01 00:00:00
AC,2002,4,429,53242,2002-04-01 00:00:00
AC,2002,4,439,6069850,2002-04-01 00:00:00
AC,2002,4,499,6714010,2002-04-01 00:00:00
AC,2002,4,999,18739361,2002-04-01 00:00:00
AC,2002,5,119,0,2002-05-01 00:00:00
AC,2002,5,129,0,2002-05-01 00:00:00
AC,2002,5,131,0,2002-05-01 00:00:00
AC,2002,5,132,0,2002-05-01 00:00:00
AC,2002,5,133,0,2002-05-01 00:00:00
AC,2002,5,134,0,2002-05-01 00:00:00
AC,2002,5,135,0,2002-05-01 00:00:00
AC,2002,5,139,0,2002-05-01 00:00:00
AC,2002,5,211,0,2002-05-01 00:00:00
AC,2002,5,212,0,2002-05-01 00:00:00
AC,2002,5,219,0,2002-05-01 00:00:00
AC,2002,5,221,0,2002-05-01 00:00:00
AC,2002,5,222,0,2002-05-01 00:00:00
AC,2002,5,229,0,2002-05-01 00:00:00
AC,2002,5,239,0,2002-05-01 00:00:00
AC,2002,5,249,0,2002-05-01 00:00:00
AC,2002,5,399,15023114,2002-05-01 00:00:00
AC,2002,5,409,603191,2002-05-01 00:00:00
AC,2002,5,419,50708,2002-05-01 00:00:00
AC,2002,5,429,53309,2002-05-01 00:00:00
AC,2002,5,439,6046110,2002-05-01 00:00:00
AC,2002,5,499,6753318,2002-05-01 00:00:00
AC,2002,5,999,21776432,2002-05-01 00:00:00
AC,2002,6,119,0,2002-06-01 00:00:00
AC,2002,6,129,0,2002-06-01 00:00:00
AC,2002,6,131,0,2002-06-01 00:00:00
AC,2002,6,132,0,2002-06-01 00:00:00
AC,2002,6,133,0,2002-06-01 00:00:00
AC,2002,6,134,0,2002-06-01 00:00:00
AC,2002,6,135,0,2002-06-01 00:00:00
AC,2002,6,139,0,2002-06-01 00:00:00
AC,2002,6,211,0,2002-06-01 00:00:00
AC,2002,6,212,0,2002-06-01 00:00:00
AC,2002,6,219,0,2002-06-01 00:00:00
AC,2002,6,221,0,2002-06-01 00:00:00
AC,2002,6,222,0,2002-06-01 00:00:00
AC,2002,6,229,0,2002-06-01 00:00:00
AC,2002,6,239,0,2002-06-01 00:00:00
AC,2002,6,249,0,2002-06-01 00:00:00
AC,2002,6,399,12477622,2002-06-01 00:00:00
AC,2002,6,409,527809,2002-06-01 00:00:00
AC,2002,6,419,15528,2002-06-01 00:00:00
AC,2002,6,429,47758,2002-06-01 00:00:00
AC,2002,6,439,5960392,2002-06-01 00:00:00
AC,2002,6,499,6551487,2002-06-01 00:00:00
AC,2002,6,999,19029109,2002-06-01 00:00:00
AC,2002,7,119,0,2002-07-01 00:00:00
AC,2002,7,129,0,2002-07-01 00:00:00
AC,2002,7,131,0,2002-07-01 00:00:00
AC,2002,7,132,0,2002-07-01 00:00:00
AC,2002,7,133,0,2002-07-01 00:00:00
AC,2002,7,134,0,2002-07-01 00:00:00
AC,2002,7,135,0,2002-07-01 00:00:00
AC,2002,7,139,0,2002-07-01 00:00:00
AC,2002,7,211,0,2002-07-01 00:00:00
AC,2002,7,212,0,2002-07-01 00:00:00
AC,2002,7,219,0,2002-07-01 00:00:00
AC,2002,7,221,0,2002-07-01 00:00:00
AC,2002,7,222,0,2002-07-01 00:00:00
AC,2002,7,229,0,2002-07-01 00:00:00
AC,2002,7,239,0,2002-07-01 00:00:00
AC,2002,7,249,0,2002-07-01 00:00:00
AC,2002,7,399,13809311,2002-07-01 00:00:00
AC,2002,7,409,687270,2002-07-01 00:00:00
AC,2002,7,419,11090,2002-07-01 00:00:00
AC,2002,7,429,55399,2002-07-01 00:00:00
AC,2002,7,439,6668614,2002-07-01 00:00:00
