UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
AC;ACRELANDIA;AUTOMOVEL;1360
AC;ACRELANDIA;BONDE;0
AC;ACRELANDIA;CAMINHAO;362
AC;ACRELANDIA;CAMINHAO TRATOR;30
AC;ACRELANDIA;CAMINHONETE;638
AC;ACRELANDIA;CAMIONETA;50
AC;ACRELANDIA;CHASSI PLATAF;0
AC;ACRELANDIA;CICLOMOTOR;2
AC;ACRELANDIA;MICRO-ONIBUS;10
AC;ACRELANDIA;MOTOCICLETA;3230
AC;ACRELANDIA;MOTONETA;375
AC;ACRELANDIA;ONIBUS;42
AC;ACRELANDIA;QUADRICICLO;0
AC;ACRELANDIA;REBOQUE;73
AC;ACRELANDIA;SEMI-REBOQUE;45
AC;ACRELANDIA;SIDE-CAR;0
AC;ACRELANDIA;OUTROS;0
AC;ACRELANDIA;TRATOR ESTEI;0
AC;ACRELANDIA;TRATOR RODAS;0
AC;ACRELANDIA;TRICICLO;0
AC;ACRELANDIA;UTILITARIO;11
AC;ASSIS BRASIL;AUTOMOVEL;321
AC;ASSIS BRASIL;BONDE;0
AC;ASSIS BRASIL;CAMINHAO;25
AC;ASSIS BRASIL;CAMINHAO TRATOR;0
AC;ASSIS BRASIL;CAMINHONETE;149
AC;ASSIS BRASIL;CAMIONETA;18
AC;ASSIS BRASIL;CHASSI PLATAF;0
AC;ASSIS BRASIL;CICLOMOTOR;2
AC;ASSIS BRASIL;MICRO-ONIBUS;3
AC;ASSIS BRASIL;MOTOCICLETA;1130
AC;ASSIS BRASIL;MOTONETA;122
AC;ASSIS BRASIL;ONIBUS;3
AC;ASSIS BRASIL;QUADRICICLO;0
AC;ASSIS BRASIL;REBOQUE;15
AC;ASSIS BRASIL;SEMI-REBOQUE;0
AC;ASSIS BRASIL;SIDE-CAR;0
AC;ASSIS BRASIL;OUTROS;0
AC;ASSIS BRASIL;TRATOR ESTEI;0
AC;ASSIS BRASIL;TRATOR RODAS;0
AC;ASSIS BRASIL;TRICICLO;0
AC;ASSIS BRASIL;UTILITARIO;2
AC;BRASILEIA;AUTOMOVEL;2292
AC;BRASILEIA;BONDE;0
AC;BRASILEIA;CAMINHAO;278
AC;BRASILEIA;CAMINHAO TRATOR;158
AC;BRASILEIA;CAMINHONETE;1179
AC;BRASILEIA;CAMIONETA;83
AC;BRASILEIA;CHASSI PLATAF;0
AC;BRASILEIA;CICLOMOTOR;4
AC;BRASILEIA;MICRO-ONIBUS;7
AC;BRASILEIA;MOTOCICLETA;4457
AC;BRASILEIA;MOTONETA;967
AC;BRASILEIA;ONIBUS;19
AC;BRASILEIA;QUADRICICLO;0
AC;BRASILEIA;REBOQUE;113
AC;BRASILEIA;SEMI-REBOQUE;209
AC;BRASILEIA;SIDE-CAR;0
AC;BRASILEIA;OUTROS;0
AC;BRASILEIA;TRATOR ESTEI;0
AC;BRASILEIA;TRATOR RODAS;0
AC;BRASILEIA;TRICICLO;2
AC;BRASILEIA;UTILITARIO;31
AC;BUJARI;AUTOMOVEL;624
AC;BUJARI;BONDE;0
AC;BUJARI;CAMINHAO;122
AC;BUJARI;CAMINHAO TRATOR;31
AC;BUJARI;CAMINHONETE;278
AC;BUJARI;CAMIONETA;16
AC;BUJARI;CHASSI PLATAF;0
AC;BUJARI;CICLOMOTOR;7
AC;BUJARI;MICRO-ONIBUS;5
AC;BUJARI;MOTOCICLETA;943
AC;BUJARI;MOTONETA;51
AC;BUJARI;ONIBUS;14
AC;BUJARI;QUADRICICLO;0
AC;BUJARI;REBOQUE;25
AC;BUJARI;SEMI-REBOQUE;38
AC;BUJARI;SIDE-CAR;0
AC;BUJARI;OUTROS;0
AC;BUJARI;TRATOR ESTEI;0
AC;BUJARI;TRATOR RODAS;0
AC;BUJARI;TRICICLO;1
AC;BUJARI;UTILITARIO;3
AC;CAPIXABA;AUTOMOVEL;613
AC;CAPIXABA;BONDE;0
AC;CAPIXABA;CAMINHAO;88
AC;CAPIXABA;CAMINHAO TRATOR;3
AC;CAPIXABA;CAMINHONETE;236
AC;CAPIXABA;CAMIONETA;29
AC;CAPIXABA;CHASSI PLATAF;0
AC;CAPIXABA;CICLOMOTOR;5
AC;CAPIXABA;MICRO-ONIBUS;3
AC;CAPIXABA;MOTOCICLETA;1067
AC;CAPIXABA;MOTONETA;123
AC;CAPIXABA;ONIBUS;17
AC;CAPIXABA;QUADRICICLO;0
AC;CAPIXABA;REBOQUE;24
AC;CAPIXABA;SEMI-REBOQUE;4
AC;CAPIXABA;SIDE-CAR;0
AC;CAPIXABA;OUTROS;0
AC;CAPIXABA;TRATOR ESTEI;0
AC;CAPIXABA;TRATOR RODAS;0
AC;CAPIXABA;TRICICLO;0
AC;CAPIXABA;UTILITARIO;1
AC;CRUZEIRO DO SUL;AUTOMOVEL;6887
AC;CRUZEIRO DO SUL;BONDE;0
AC;CRUZEIRO DO SUL;CAMINHAO;731
AC;CRUZEIRO DO SUL;CAMINHAO TRATOR;75
AC;CRUZEIRO DO SUL;CAMINHONETE;2841
AC;CRUZEIRO DO SUL;CAMIONETA;310
AC;CRUZEIRO DO SUL;CHASSI PLATAF;1
AC;CRUZEIRO DO SUL;CICLOMOTOR;32
AC;CRUZEIRO DO SUL;MICRO-ONIBUS;59
AC;CRUZEIRO DO SUL;MOTOCICLETA;15621
AC;CRUZEIRO DO SUL;MOTONETA;6683
AC;CRUZEIRO DO SUL;ONIBUS;84
AC;CRUZEIRO DO SUL;QUADRICICLO;0
AC;CRUZEIRO DO SUL;REBOQUE;43
AC;CRUZEIRO DO SUL;SEMI-REBOQUE;162
AC;CRUZEIRO DO SUL;SIDE-CAR;0
AC;CRUZEIRO DO SUL;OUTROS;1
AC;CRUZEIRO DO SUL;TRATOR ESTEI;0
AC;CRUZEIRO DO SUL;TRATOR RODAS;0
AC;CRUZEIRO DO SUL;TRICICLO;10
AC;CRUZEIRO DO SUL;UTILITARIO;107
AC;EPITACIOLANDIA;AUTOMOVEL;1777
AC;EPITACIOLANDIA;BONDE;0
AC;EPITACIOLANDIA;CAMINHAO;257
AC;EPITACIOLANDIA;CAMINHAO TRATOR;118
AC;EPITACIOLANDIA;CAMINHONETE;837
AC;EPITACIOLANDIA;CAMIONETA;81
AC;EPITACIOLANDIA;CHASSI PLATAF;0
AC;EPITACIOLANDIA;CICLOMOTOR;4
AC;EPITACIOLANDIA;MICRO-ONIBUS;6
AC;EPITACIOLANDIA;MOTOCICLETA;2449
AC;EPITACIOLANDIA;MOTONETA;715
AC;EPITACIOLANDIA;ONIBUS;16
AC;EPITACIOLANDIA;QUADRICICLO;0
AC;EPITACIOLANDIA;REBOQUE;98
AC;EPITACIOLANDIA;SEMI-REBOQUE;144
AC;EPITACIOLANDIA;SIDE-CAR;0
AC;EPITACIOLANDIA;OUTROS;0
AC;EPITACIOLANDIA;TRATOR ESTEI;0
AC;EPITACIOLANDIA;TRATOR RODAS;0
AC;EPITACIOLANDIA;TRICICLO;3
AC;EPITACIOLANDIA;UTILITARIO;16
AC;FEIJO;AUTOMOVEL;574
AC;FEIJO;BONDE;0
AC;FEIJO;CAMINHAO;116
AC;FEIJO;CAMINHAO TRATOR;5
AC;FEIJO;CAMINHONETE;343
AC;FEIJO;CAMIONETA;33
AC;FEIJO;CHASSI PLATAF;0
AC;FEIJO;CICLOMOTOR;33
AC;FEIJO;MICRO-ONIBUS;3
AC;FEIJO;MOTOCICLETA;2092
AC;FEIJO;MOTONETA;622
AC;FEIJO;ONIBUS;12
AC;FEIJO;QUADRICICLO;0
AC;FEIJO;REBOQUE;12
AC;FEIJO;SEMI-REBOQUE;9
AC;FEIJO;SIDE-CAR;0
AC;FEIJO;OUTROS;0
AC;FEIJO;TRATOR ESTEI;0
AC;FEIJO;TRATOR RODAS;0
AC;FEIJO;TRICICLO;4
AC;FEIJO;UTILITARIO;13
AC;JORDAO;AUTOMOVEL;10
AC;JORDAO;BONDE;0
AC;JORDAO;CAMINHAO;6
AC;JORDAO;CAMINHAO TRATOR;0
AC;JORDAO;CAMINHONETE;12
AC;JORDAO;CAMIONETA;1
AC;JORDAO;CHASSI PLATAF;0
AC;JORDAO;CICLOMOTOR;0
AC;JORDAO;MICRO-ONIBUS;0
AC;JORDAO;MOTOCICLETA;65
AC;JORDAO;MOTONETA;30
AC;JORDAO;ONIBUS;0
AC;JORDAO;QUADRICICLO;0
AC;JORDAO;REBOQUE;0
AC;JORDAO;SEMI-REBOQUE;0
AC;JORDAO;SIDE-CAR;0
AC;JORDAO;OUTROS;0
AC;JORDAO;TRATOR ESTEI;0
AC;JORDAO;TRATOR RODAS;0
AC;JORDAO;TRICICLO;0
AC;JORDAO;UTILITARIO;0
AC;MANCIO LIMA;AUTOMOVEL;620
AC;MANCIO LIMA;BONDE;0
AC;MANCIO LIMA;CAMINHAO;97
AC;MANCIO LIMA;CAMINHAO TRATOR;3
AC;MANCIO LIMA;CAMINHONETE;317
AC;MANCIO LIMA;CAMIONETA;29
AC;MANCIO LIMA;CHASSI PLATAF;0
AC;MANCIO LIMA;CICLOMOTOR;1
AC;MANCIO LIMA;MICRO-ONIBUS;4
AC;MANCIO LIMA;MOTOCICLETA;2114
AC;MANCIO LIMA;MOTONETA;532
AC;MANCIO LIMA;ONIBUS;16
AC;MANCIO LIMA;QUADRICICLO;0
AC;MANCIO LIMA;REBOQUE;1
AC;MANCIO LIMA;SEMI-REBOQUE;5
AC;MANCIO LIMA;SIDE-CAR;0
AC;MANCIO LIMA;OUTROS;0
AC;MANCIO LIMA;TRATOR ESTEI;0
AC;MANCIO LIMA;TRATOR RODAS;0
AC;MANCIO LIMA;TRICICLO;0
AC;MANCIO LIMA;UTILITARIO;7
AC;MANOEL URBANO;AUTOMOVEL;218
AC;MANOEL URBANO;BONDE;0
AC;MANOEL URBANO;CAMINHAO;56
AC;MANOEL URBANO;CAMINHAO TRATOR;5
AC;MANOEL URBANO;CAMINHONETE;147
AC;MANOEL URBANO;CAMIONETA;6
AC;MANOEL URBANO;CHASSI PLATAF;0
AC;MANOEL URBANO;CICLOMOTOR;2
AC;MANOEL URBANO;MICRO-ONIBUS;0
AC;MANOEL URBANO;MOTOCICLETA;571
AC;MANOEL URBANO;MOTONETA;106
AC;MANOEL URBANO;ONIBUS;6
AC;MANOEL URBANO;QUADRICICLO;0
AC;MANOEL URBANO;REBOQUE;25
AC;MANOEL URBANO;SEMI-REBOQUE;7
AC;MANOEL URBANO;SIDE-CAR;0
AC;MANOEL URBANO;OUTROS;0
AC;MANOEL URBANO;TRATOR ESTEI;0
AC;MANOEL URBANO;TRATOR RODAS;0
AC;MANOEL URBANO;TRICICLO;0
AC;MANOEL URBANO;UTILITARIO;2
AC;MARECHAL THAUMATURGO;AUTOMOVEL;9
AC;MARECHAL THAUMATURGO;BONDE;0
AC;MARECHAL THAUMATURGO;CAMINHAO;13
AC;MARECHAL THAUMATURGO;CAMINHAO TRATOR;0
AC;MARECHAL THAUMATURGO;CAMINHONETE;34
AC;MARECHAL THAUMATURGO;CAMIONETA;0
AC;MARECHAL THAUMATURGO;CHASSI PLATAF;0
AC;MARECHAL THAUMATURGO;CICLOMOTOR;0
AC;MARECHAL THAUMATURGO;MICRO-ONIBUS;0
AC;MARECHAL THAUMATURGO;MOTOCICLETA;256
AC;MARECHAL THAUMATURGO;MOTONETA;36
AC;MARECHAL THAUMATURGO;ONIBUS;9
AC;MARECHAL THAUMATURGO;QUADRICICLO;0
AC;MARECHAL THAUMATURGO;REBOQUE;0
AC;MARECHAL THAUMATURGO;SEMI-REBOQUE;0
AC;MARECHAL THAUMATURGO;SIDE-CAR;0
AC;MARECHAL THAUMATURGO;OUTROS;0
AC;MARECHAL THAUMATURGO;TRATOR ESTEI;0
AC;MARECHAL THAUMATURGO;TRATOR RODAS;0
AC;MARECHAL THAUMATURGO;TRICICLO;0
AC;MARECHAL THAUMATURGO;UTILITARIO;0
AC;PLACIDO DE CASTRO;AUTOMOVEL;1305
AC;PLACIDO DE CASTRO;BONDE;0
AC;PLACIDO DE CASTRO;CAMINHAO;151
AC;PLACIDO DE CASTRO;CAMINHAO TRATOR;15
AC;PLACIDO DE CASTRO;CAMINHONETE;526
AC;PLACIDO DE CASTRO;CAMIONETA;44
AC;PLACIDO DE CASTRO;CHASSI PLATAF;0
AC;PLACIDO DE CASTRO;CICLOMOTOR;7
AC;PLACIDO DE CASTRO;MICRO-ONIBUS;5
AC;PLACIDO DE CASTRO;MOTOCICLETA;2235
AC;PLACIDO DE CASTRO;MOTONETA;384
AC;PLACIDO DE CASTRO;ONIBUS;30
AC;PLACIDO DE CASTRO;QUADRICICLO;0
AC;PLACIDO DE CASTRO;REBOQUE;63
